Data From,Data To,Quarter,State,Year
1593541800000.0,1601231400000.0,3,manipur,2020
1601490600000.0,1609093800000.0,4,manipur,2020
1609439400000.0,1616869800000.0,1,manipur,2021
1617215400000.0,1624818600000.0,2,manipur,2021
1625077800000.0,1632767400000.0,3,manipur,2021
1633026600000.0,1640629800000.0,4,manipur,2021
1640975400000.0,1648405800000.0,1,manipur,2022
1648751400000.0,1656354600000.0,2,manipur,2022
1656613800000.0,1664303400000.0,3,manipur,2022
1664562600000.0,1672165800000.0,4,manipur,2022
1514745000000.0,1522175400000.0,1,meghalaya,2018
1522521000000.0,1530124200000.0,2,meghalaya,2018
1530383400000.0,1538073000000.0,3,meghalaya,2018
1538332200000.0,1545935400000.0,4,meghalaya,2018
1546281000000.0,1553711400000.0,1,meghalaya,2019
1554057000000.0,1561660200000.0,2,meghalaya,2019
1561919400000.0,1569609000000.0,3,meghalaya,2019
1569868200000.0,1577471400000.0,4,meghalaya,2019
1577817000000.0,1585333800000.0,1,meghalaya,2020
1585679400000.0,1593282600000.0,2,meghalaya,2020
1593541800000.0,1601231400000.0,3,meghalaya,2020
1601490600000.0,1609093800000.0,4,meghalaya,2020
1609439400000.0,1616869800000.0,1,meghalaya,2021
1617215400000.0,1624818600000.0,2,meghalaya,2021
1625077800000.0,1632767400000.0,3,meghalaya,2021
1633026600000.0,1640629800000.0,4,meghalaya,2021
1640975400000.0,1648405800000.0,1,meghalaya,2022
1648751400000.0,1656354600000.0,2,meghalaya,2022
1656613800000.0,1664303400000.0,3,meghalaya,2022
1664562600000.0,1672165800000.0,4,meghalaya,2022
1514745000000.0,1522175400000.0,1,mizoram,2018
1522521000000.0,1530124200000.0,2,mizoram,2018
1530383400000.0,1538073000000.0,3,mizoram,2018
1538332200000.0,1545935400000.0,4,mizoram,2018
1546281000000.0,1553711400000.0,1,mizoram,2019
1554057000000.0,1561660200000.0,2,mizoram,2019
1561919400000.0,1569609000000.0,3,mizoram,2019
1569868200000.0,1577471400000.0,4,mizoram,2019
1577817000000.0,1585333800000.0,1,mizoram,2020
1585679400000.0,1593282600000.0,2,mizoram,2020
1593541800000.0,1601231400000.0,3,mizoram,2020
1601490600000.0,1609093800000.0,4,mizoram,2020
1609439400000.0,1616869800000.0,1,mizoram,2021
1617215400000.0,1624818600000.0,2,mizoram,2021
1625077800000.0,1632767400000.0,3,mizoram,2021
1633026600000.0,1640629800000.0,4,mizoram,2021
1640975400000.0,1648405800000.0,1,mizoram,2022
1648751400000.0,1656354600000.0,2,mizoram,2022
1656613800000.0,1664303400000.0,3,mizoram,2022
1664562600000.0,1672165800000.0,4,mizoram,2022
1514745000000.0,1522175400000.0,1,nagaland,2018
1522521000000.0,1530124200000.0,2,nagaland,2018
1530383400000.0,1538073000000.0,3,nagaland,2018
1538332200000.0,1545935400000.0,4,nagaland,2018
1546281000000.0,1553711400000.0,1,nagaland,2019
1554057000000.0,1561660200000.0,2,nagaland,2019
1561919400000.0,1569609000000.0,3,nagaland,2019
1569868200000.0,1577471400000.0,4,nagaland,2019
1577817000000.0,1585333800000.0,1,nagaland,2020
1585679400000.0,1593282600000.0,2,nagaland,2020
1593541800000.0,1601231400000.0,3,nagaland,2020
1601490600000.0,1609093800000.0,4,nagaland,2020
1609439400000.0,1616869800000.0,1,nagaland,2021
1617215400000.0,1624818600000.0,2,nagaland,2021
1625077800000.0,1632767400000.0,3,nagaland,2021
